Date,Open,High,Low,Close,P_Open,Error,Pred Dir,Act Dir,Correct
2018-01-29,11685.58,11820.01,10991,11162.62,,,,,
2018-01-30,11162.62,11222.36,9731.2,9971,,,,,
2018-01-31,9971,10324,9514.96,10149,,,,,
2018-02-01,10149,10187.56,8455,8998.99,,,,,
2018-02-02,8998.99,9096.79,7625.25,8838.83,,,,,
2018-02-03,8838.83,9491.2,8170.71,9225.86,,,,,
2018-02-04,9225.86,9350.09,7825,8191,,,,,
2018-02-05,8191,8335.56,6600,6874.27,,,,,
2018-02-06,6874.27,8150,5920.72,7737.37,,,,,
2018-02-07,7737.37,8649,7213.8,7588.01,,,,,
2018-02-08,7588.01,8644.36,7565.5,8259.76,,,,,
2018-02-09,8259.76,8779.62,7753.32,8693.98,,,,,
2018-02-10,8693.98,9090.8,8170.86,8560,,,,,
2018-02-11,8560,8560,7820,8067,,,,,
2018-02-12,8067,8995,8067,8899,,,,,
2018-02-13,8899,8951.89,8360.13,8522.99,,,,,
2018-02-14,8522.99,9515,8504.57,9490.98,,,,,
2018-02-15,9490.98,10234,9350,10018,,,,,
2018-02-16,10018,10300,9707.51,10196,,,,,
2018-02-17,10196,11135.83,10053.5,11101,,,,,
2018-02-18,11101,11300,10153.15,10421.06,,,,,
2018-02-19,10421.06,11262.48,10307.51,11173,,,,,
2018-02-20,11173,11780,11080.37,11233.41,,,,,
2018-02-21,11233.41,11275.74,10256,10449.4,,,,,
